Produto,Quantidade,Data da Compra
Bolo de Fubá,9,12/08/2024
Panetone,7,01/08/2024
Panetone,9,13/08/2024
Pão Francês,14,12/08/2024
Bolo de Fubá,10,19/08/2024
Bolo de Laranja,1,08/08/2024
Torta de Maçã,8,10/08/2024
Panetone,2,19/08/2024
Bolo de Fubá,8,11/08/2024
Torta de Limão,15,04/08/2024
Brownie,12,19/08/2024
Donut,5,01/08/2024
Torta de Limão,8,02/08/2024
Pão Integral,5,15/08/2024
Pão de Forma,10,16/08/2024
Baguete,3,09/08/2024
Donut,5,20/08/2024
Cookies,5,19/08/2024
Pão de Queijo,3,04/08/2024
Baguete,2,13/08/2024
