Produto,Quantidade,Data da Compra
Bolo de Morango,7,13/08/2024
Muffin,12,04/08/2024
Pão Francês,10,10/08/2024
Torta de Limão,12,14/08/2024
Croissant,4,14/08/2024
Torta de Maçã,10,13/08/2024
Bolo de Cenoura,7,19/08/2024
Pão Australiano,14,14/08/2024
Pão Integral,14,07/08/2024
Pão de Queijo,2,16/08/2024
Panetone,14,14/08/2024
Torta de Limão,6,03/08/2024
Torta de Limão,12,06/08/2024
Bolo de Cenoura,14,19/08/2024
Pão de Forma,8,18/08/2024
Pão de Forma,3,11/08/2024
Pão de Queijo,3,02/08/2024
Torta de Morango,5,11/08/2024
Pão de Queijo,4,03/08/2024
Brownie,6,11/08/2024
